Distance_(pixels),Gray_Value
1240,29.6250
1241,28.6250
1242,29.3750
1243,29.8750
1244,31.2500
1245,32.1250
1246,31.8750
1247,31.0000
1248,29.7500
1249,28.3750
1250,28.2500
1251,28.2500
1252,29.2500
1253,30.0000
1254,30.5000
1255,30.2500
1256,31.0000
1257,30.3750
1258,30.3750
1259,29.6250
1260,29.5000
1261,30.0000
1262,30.7500
1263,31.3750
1264,30.6250
1265,30.3750
1266,29.6250
1267,29.6250
1268,29.2500
1269,32.0000
1270,34.2500
1271,36.5000
1272,36.1250
1273,34.7500
1274,33.0000
1275,31.7500
1276,29.7500
1277,29.3750
1278,29.2500
1279,29.1250
1280,29.1250
1281,28.2500
1282,28.6250
1283,29.7500
1284,30.0000
1285,30.1250
1286,30.0000
1287,29.1250
1288,28.2500
1289,26.3750
1290,25.7500
1291,25.7500
1292,25.7500
1293,26.6250
1294,27.8750
1295,29.0000
1296,30.5000
1297,31.3750
1298,32.5000
1299,32.5000
1300,32.6250
1301,31.3750
1302,30.5000
1303,29.1250
1304,28.1250
1305,27.1250
1306,28.1250
1307,28.2500
1308,29.0000
1309,28.3750
1310,28.1250
1311,26.8750
1312,27.3750
1313,26.2500
1314,26.7500
1315,26.6250
1316,27.7500
1317,28.3750
1318,28.6250
1319,28.7500
1320,29.5000
1321,29.8750
1322,30.3750
1323,30.3750
1324,30.5000
1325,31.5000
1326,32.5000
1327,32.2500
1328,31.3750
1329,30.5000
1330,29.8750
1331,29.7500
1332,29.3750
1333,30.2500
1334,32.2500
1335,32.8750
1336,32.5000
1337,30.5000
1338,27.8750
1339,26.3750
1340,25.1250
1341,26.6250
1342,29.3750
1343,32.2500
1344,34.3750
1345,34.3750
1346,33.3750
1347,32.1250
1348,28.8750
1349,27.7500
1350,27.0000
1351,27.0000
1352,26.7500
1353,26.2500
1354,27.5000
1355,28.8750
1356,29.2500
1357,29.8750
1358,29.2500
1359,29.5000
1360,28.1250
1361,26.5000
1362,25.3750
1363,24.8750
1364,24.7500
1365,25.3750
1366,27.1250
1367,30.2500
1368,33.0000
1369,36.0000
1370,37.0000
1371,37.3750
1372,36.3750
1373,34.7500
1374,31.8750
1375,30.2500
1376,28.3750
1377,28.1250
1378,28.3750
1379,28.8750
1380,30.2500
1381,31.2500
1382,32.5000
1383,32.5000
1384,32.3750
1385,31.5000
1386,32.1250
1387,31.8750
1388,33.8750
1389,34.0000
1390,34.3750
1391,33.7500
1392,33.6250
1393,32.5000
1394,33.0000
1395,31.6250
1396,31.2500
1397,31.1250
1398,31.0000
1399,31.6250
1400,32.7500
1401,32.7500
1402,34.0000
1403,34.2500
1404,33.7500
1405,33.0000
1406,33.1250
1407,33.0000
1408,32.7500
1409,30.2500
1410,28.2500
1411,27.5000
1412,27.2500
1413,28.6250
1414,32.6250
1415,36.6250
1416,39.1250
1417,39.0000
1418,37.3750
1419,35.6250
1420,33.1250
1421,30.0000
1422,29.5000
1423,29.0000
1424,28.8750
1425,28.0000
1426,28.0000
1427,28.6250
1428,29.6250
1429,30.5000
1430,30.8750
1431,30.3750
1432,29.0000
1433,27.3750
1434,26.7500
1435,25.8750
1436,26.0000
1437,26.7500
1438,28.5000
1439,30.6250
1440,32.1250
1441,33.5000
1442,35.1250
1443,35.3750
1444,34.6250
1445,33.5000
1446,32.7500
1447,32.7500
1448,33.1250
1449,33.6250
1450,34.3750
1451,34.6250
1452,35.1250
1453,34.2500
1454,32.8750
1455,31.2500
1456,29.8750
1457,29.7500
1458,29.2500
1459,29.6250
1460,30.3750
1461,31.8750
1462,33.8750
1463,35.0000
1464,35.5000
1465,35.3750
1466,34.6250
1467,32.8750
1468,32.1250
1469,30.5000
1470,31.0000
1471,31.6250
1472,32.3750
1473,33.2500
1474,34.7500
1475,34.7500
1476,34.6250
1477,35.0000
1478,34.7500
1479,33.5000
1480,31.3750
1481,29.2500
1482,27.5000
1483,26.7500
1484,27.0000
1485,28.7500
1486,31.7500
1487,34.1250
1488,36.0000
1489,36.1250
1490,35.2500
1491,33.2500
1492,31.8750
1493,31.5000
1494,31.5000
1495,31.0000
1496,30.1250
1497,29.0000
1498,29.6250
1499,29.6250
1500,30.0000
1501,30.0000
1502,29.6250
1503,29.2500
1504,28.7500
1505,27.5000
1506,28.0000
1507,28.5000
1508,30.0000
1509,30.8750
1510,30.7500
1511,31.3750
1512,32.8750
1513,34.3750
1514,34.7500
1515,34.7500
1516,35.1250
1517,35.3750
1518,34.2500
1519,34.2500
1520,35.3750
1521,36.1250
1522,37.1250
1523,36.6250
1524,36.2500
1525,34.8750
1526,32.6250
1527,30.5000
1528,31.0000
1529,30.7500
1530,32.0000
1531,33.3750
1532,34.7500
1533,35.3750
1534,35.6250
1535,36.3750
1536,36.6250
1537,36.7500
1538,36.5000
1539,35.7500
1540,34.7500
1541,33.3750
1542,32.5000
1543,32.1250
1544,32.6250
1545,33.3750
1546,34.0000
1547,34.7500
1548,34.7500
1549,35.1250
1550,35.6250
1551,35.7500
1552,35.2500
1553,34.1250
1554,32.2500
1555,31.0000
1556,29.7500
1557,29.7500
1558,31.8750
1559,35.2500
1560,38.2500
1561,39.6250
1562,39.3750
1563,38.1250
1564,36.3750
